term1,term2,count
agency executive,flood classification,0
agency executive,flood crest,0
agency executive,flood depth,0
agency executive,flood elevation,0
agency executive,flood elevation study,0
agency executive,flood hazard level,0
agency executive,flood insurance rate map,0
agency executive,flood insurance study,0
agency executive,flood mitigation assistance,0
agency executive,flood of record,0
agency executive,floodplain,0
agency executive,floodplain fill,0
agency executive,flood-proofing,0
agency executive,flood stage,0
agency executive,floodway,0
agency executive,atmospheric moisture,0
agency executive,climate change,0
agency executive,crest,0
agency executive,downpours,0
agency executive,extreme rainfall,0
agency executive,global warming,0
agency executive,intense rainfall,0
agency executive,precipitation,0
agency executive,moisture,0
agency executive,natural disaster,0
agency executive,noaa,0
agency executive,rain,0
agency executive,rainfall,0
agency executive,river,0
agency executive,sea levels,0
agency executive,special flood hazard area,0
agency executive,storm,0
agency executive,storm intensity,0
agency executive,swamped,0
agency executive,thunder storm,0
agency executive,torrential rain,0
agency executive,weather,0
agency executive,wet,0
agency executive,wetter,0
agency administrator,alarm,0
agency administrator,action plan,0
agency administrator,active resources,0
agency administrator,effect,0
agency administrator,affected area,0
agency administrator,agency,0
agency administrator,agency dispatch,0
agency administrator,agency executive,0
agency administrator,agency administrator,0
agency administrator,after action report,0
agency administrator,after action review,0
agency administrator,alert level,0
agency administrator,allocated resources,0
agency administrator,assigned resources,0
agency administrator,available resources,0
agency administrator,contingency plan,0
agency administrator,death,0
agency administrator,devastation,0
agency administrator,devastating,0
agency administrator,died,0
agency administrator,disaster,0
agency administrator,disasters,0
agency administrator,extreme,0
agency administrator,hazard,0
agency administrator,killed,0
agency administrator,base flood,0
agency administrator,base flood elevation,0
agency administrator,flash flood,0
agency administrator,flooded homes,0
agency administrator,flooded cars,0
agency administrator,flood classification,0
agency administrator,flood crest,0
agency administrator,flood depth,0
agency administrator,flood elevation,0
agency administrator,flood elevation study,0
agency administrator,flood hazard level,0
agency administrator,flood insurance rate map,0
agency administrator,flood insurance study,0
agency administrator,flood mitigation assistance,0
agency administrator,flood of record,0
agency administrator,floodplain,0
agency administrator,floodplain fill,0
agency administrator,flood-proofing,0
agency administrator,flood stage,0
agency administrator,floodway,0
agency administrator,atmospheric moisture,0
agency administrator,climate change,0
agency administrator,crest,0
agency administrator,downpours,0
agency administrator,extreme rainfall,0
agency administrator,global warming,0
agency administrator,intense rainfall,0
agency administrator,precipitation,0
agency administrator,moisture,0
agency administrator,natural disaster,0
agency administrator,noaa,0
agency administrator,rain,0
agency administrator,rainfall,0
agency administrator,river,0
agency administrator,sea levels,0
agency administrator,special flood hazard area,0
agency administrator,storm,0
agency administrator,storm intensity,0
agency administrator,swamped,0
agency administrator,thunder storm,0
agency administrator,torrential rain,0
agency administrator,weather,0
agency administrator,wet,0
agency administrator,wetter,0
after action report,alarm,0
after action report,action plan,0
after action report,active resources,0
after action report,effect,0
after action report,affected area,0
after action report,agency,0
after action report,agency dispatch,0
after action report,agency executive,0
after action report,agency administrator,0
after action report,after action report,0
after action report,after action review,0
after action report,alert level,0
after action report,allocated resources,0
after action report,assigned resources,0
after action report,available resources,0
after action report,contingency plan,0
after action report,death,0
after action report,devastation,0
after action report,devastating,0
after action report,died,0
after action report,disaster,0
after action report,disasters,0
after action report,extreme,0
after action report,hazard,0
after action report,killed,0
after action report,base flood,0
after action report,base flood elevation,0
after action report,flash flood,0
after action report,flooded homes,0
after action report,flooded cars,0
after action report,flood classification,0
after action report,flood crest,0
after action report,flood depth,0
after action report,flood elevation,0
after action report,flood elevation study,0
after action report,flood hazard level,0
after action report,flood insurance rate map,0
after action report,flood insurance study,0
after action report,flood mitigation assistance,0
after action report,flood of record,0
after action report,floodplain,0
after action report,floodplain fill,0
after action report,flood-proofing,0
after action report,flood stage,0
after action report,floodway,0
after action report,atmospheric moisture,0
after action report,climate change,0
after action report,crest,0
after action report,downpours,0
after action report,extreme rainfall,0
after action report,global warming,0
after action report,intense rainfall,0
after action report,precipitation,0
after action report,moisture,0
after action report,natural disaster,0
after action report,noaa,0
after action report,rain,0
after action report,rainfall,0
after action report,river,0
after action report,sea levels,0
after action report,special flood hazard area,0
after action report,storm,0
after action report,storm intensity,0
after action report,swamped,0
after action report,thunder storm,0
after action report,torrential rain,0
after action report,weather,0
after action report,wet,0
after action report,wetter,0
after action review,alarm,0
after action review,action plan,0
after action review,active resources,0
after action review,effect,0
after action review,affected area,0
after action review,agency,0
after action review,agency dispatch,0
after action review,agency executive,0
after action review,agency administrator,0
after action review,after action report,0
after action review,after action review,0
after action review,alert level,0
after action review,allocated resources,0
after action review,assigned resources,0
after action review,available resources,0
after action review,contingency plan,0
after action review,death,0
after action review,devastation,0
after action review,devastating,0
after action review,died,0
after action review,disaster,0
after action review,disasters,0
after action review,extreme,0
after action review,hazard,0
after action review,killed,0
after action review,base flood,0
after action review,base flood elevation,0
after action review,flash flood,0
after action review,flooded homes,0
after action review,flooded cars,0
after action review,flood classification,0
after action review,flood crest,0
after action review,flood depth,0
after action review,flood elevation,0
after action review,flood elevation study,0
after action review,flood hazard level,0
after action review,flood insurance rate map,0
after action review,flood insurance study,0
after action review,flood mitigation assistance,0
after action review,flood of record,0
after action review,floodplain,0
after action review,floodplain fill,0
after action review,flood-proofing,0
after action review,flood stage,0
after action review,floodway,0
after action review,atmospheric moisture,0
after action review,climate change,0
after action review,crest,0
after action review,downpours,0
after action review,extreme rainfall,0
after action review,global warming,0
after action review,intense rainfall,0
after action review,precipitation,0
after action review,moisture,0
after action review,natural disaster,0
after action review,noaa,0
after action review,rain,0
after action review,rainfall,0
after action review,river,0
after action review,sea levels,0
after action review,special flood hazard area,0
after action review,storm,0
after action review,storm intensity,0
after action review,swamped,0
after action review,thunder storm,0
after action review,torrential rain,0
after action review,weather,0
after action review,wet,0
after action review,wetter,0
alert level,alarm,0
alert level,action plan,0
alert level,active resources,0
alert level,effect,0
alert level,affected area,0
alert level,agency,0
alert level,agency dispatch,0
alert level,agency executive,0
alert level,agency administrator,0
alert level,after action report,0
alert level,after action review,0
alert level,alert level,0
alert level,allocated resources,0
alert level,assigned resources,0
alert level,available resources,0
alert level,contingency plan,0
alert level,death,0
alert level,devastation,0
alert level,devastating,0
alert level,died,0
alert level,disaster,0
alert level,disasters,0
alert level,extreme,0
alert level,hazard,0
alert level,killed,0
alert level,base flood,0
alert level,base flood elevation,0
alert level,flash flood,0
alert level,flooded homes,0
alert level,flooded cars,0
alert level,flood classification,0
alert level,flood crest,0
alert level,flood depth,0
alert level,flood elevation,0
alert level,flood elevation study,0
alert level,flood hazard level,0
alert level,flood insurance rate map,0
alert level,flood insurance study,0
alert level,flood mitigation assistance,0
alert level,flood of record,0
alert level,floodplain,0
alert level,floodplain fill,0
alert level,flood-proofing,0
alert level,flood stage,0
alert level,floodway,0
alert level,atmospheric moisture,0
alert level,climate change,0
alert level,crest,0
alert level,downpours,0
alert level,extreme rainfall,0
alert level,global warming,0
alert level,intense rainfall,0
alert level,precipitation,0
alert level,moisture,0
alert level,natural disaster,0
alert level,noaa,0
alert level,rain,0
alert level,rainfall,0
alert level,river,0
alert level,sea levels,0
alert level,special flood hazard area,0
alert level,storm,0
alert level,storm intensity,0
alert level,swamped,0
alert level,thunder storm,0
alert level,torrential rain,0
alert level,weather,0
alert level,wet,0
alert level,wetter,0
allocated resources,alarm,0
allocated resources,action plan,0
allocated resources,active resources,0
allocated resources,effect,0
allocated resources,affected area,0
allocated resources,agency,0
allocated resources,agency dispatch,0
allocated resources,agency executive,0
allocated resources,agency administrator,0
allocated resources,after action report,0
allocated resources,after action review,0
allocated resources,alert level,0
allocated resources,allocated resources,0
allocated resources,assigned resources,0
allocated resources,available resources,0
allocated resources,contingency plan,0
allocated resources,death,0
allocated resources,devastation,0
allocated resources,devastating,0
allocated resources,died,0
allocated resources,disaster,0
allocated resources,disasters,0
allocated resources,extreme,0
allocated resources,hazard,0
allocated resources,killed,0
allocated resources,base flood,0
allocated resources,base flood elevation,0
allocated resources,flash flood,0
allocated resources,flooded homes,0
allocated resources,flooded cars,0
allocated resources,flood classification,0
allocated resources,flood crest,0
allocated resources,flood depth,0
allocated resources,flood elevation,0
allocated resources,flood elevation study,0
allocated resources,flood hazard level,0
allocated resources,flood insurance rate map,0
allocated resources,flood insurance study,0
allocated resources,flood mitigation assistance,0
allocated resources,flood of record,0
allocated resources,floodplain,0
allocated resources,floodplain fill,0
allocated resources,flood-proofing,0
allocated resources,flood stage,0
allocated resources,floodway,0
allocated resources,atmospheric moisture,0
allocated resources,climate change,0
allocated resources,crest,0
allocated resources,downpours,0
allocated resources,extreme rainfall,0
allocated resources,global warming,0
allocated resources,intense rainfall,0
allocated resources,precipitation,0
allocated resources,moisture,0
allocated resources,natural disaster,0
allocated resources,noaa,0
allocated resources,rain,0
allocated resources,rainfall,0
allocated resources,river,0
allocated resources,sea levels,0
allocated resources,special flood hazard area,0
allocated resources,storm,0
allocated resources,storm intensity,0
allocated resources,swamped,0
allocated resources,thunder storm,0
allocated resources,torrential rain,0
allocated resources,weather,0
allocated resources,wet,0
allocated resources,wetter,0
assigned resources,alarm,0
assigned resources,action plan,0
assigned resources,active resources,0
assigned resources,effect,0
assigned resources,affected area,0
assigned resources,agency,0
assigned resources,agency dispatch,0
assigned resources,agency executive,0
assigned resources,agency administrator,0
assigned resources,after action report,0
assigned resources,after action review,0
assigned resources,alert level,0
assigned resources,allocated resources,0
assigned resources,assigned resources,0
assigned resources,available resources,0
assigned resources,contingency plan,0
assigned resources,death,0
assigned resources,devastation,0
assigned resources,devastating,0
assigned resources,died,0
assigned resources,disaster,0
assigned resources,disasters,0
assigned resources,extreme,0
assigned resources,hazard,0
assigned resources,killed,0
assigned resources,base flood,0
assigned resources,base flood elevation,0
assigned resources,flash flood,0
assigned resources,flooded homes,0
assigned resources,flooded cars,0
assigned resources,flood classification,0
assigned resources,flood crest,0
assigned resources,flood depth,0
assigned resources,flood elevation,0
assigned resources,flood elevation study,0
assigned resources,flood hazard level,0
assigned resources,flood insurance rate map,0
assigned resources,flood insurance study,0
assigned resources,flood mitigation assistance,0
assigned resources,flood of record,0
assigned resources,floodplain,0
assigned resources,floodplain fill,0
assigned resources,flood-proofing,0
assigned resources,flood stage,0
assigned resources,floodway,0
assigned resources,atmospheric moisture,0
assigned resources,climate change,0
assigned resources,crest,0
assigned resources,downpours,0
assigned resources,extreme rainfall,0
assigned resources,global warming,0
assigned resources,intense rainfall,0
assigned resources,precipitation,0
assigned resources,moisture,0
assigned resources,natural disaster,0
assigned resources,noaa,0
assigned resources,rain,0
assigned resources,rainfall,0
assigned resources,river,0
assigned resources,sea levels,0
assigned resources,special flood hazard area,0
assigned resources,storm,0
assigned resources,storm intensity,0
assigned resources,swamped,0
assigned resources,thunder storm,0
assigned resources,torrential rain,0
assigned resources,weather,0
assigned resources,wet,0
assigned resources,wetter,0
available resources,alarm,0
available resources,action plan,0
available resources,active resources,0
available resources,effect,0
available resources,affected area,0
available resources,agency,0
available resources,agency dispatch,0
available resources,agency executive,0
available resources,agency administrator,0
available resources,after action report,0
available resources,after action review,0
available resources,alert level,0
available resources,allocated resources,0
available resources,assigned resources,0
available resources,available resources,0
available resources,contingency plan,0
available resources,death,0
available resources,devastation,0
available resources,devastating,0
available resources,died,0
available resources,disaster,0
available resources,disasters,0
available resources,extreme,0
available resources,hazard,0
available resources,killed,0
available resources,base flood,0
available resources,base flood elevation,0
available resources,flash flood,0
available resources,flooded homes,0
available resources,flooded cars,0
available resources,flood classification,0
available resources,flood crest,0
available resources,flood depth,0
available resources,flood elevation,0
available resources,flood elevation study,0
available resources,flood hazard level,0
available resources,flood insurance rate map,0
available resources,flood insurance study,0
available resources,flood mitigation assistance,0
available resources,flood of record,0
available resources,floodplain,0
available resources,floodplain fill,0
available resources,flood-proofing,0
available resources,flood stage,0
available resources,floodway,0
available resources,atmospheric moisture,0
available resources,climate change,0
available resources,crest,0
available resources,downpours,0
available resources,extreme rainfall,0
available resources,global warming,0
available resources,intense rainfall,0
available resources,precipitation,0
available resources,moisture,0
available resources,natural disaster,0
available resources,noaa,0
available resources,rain,0
available resources,rainfall,0
available resources,river,0
available resources,sea levels,0
available resources,special flood hazard area,0
available resources,storm,0
available resources,storm intensity,0
available resources,swamped,0
available resources,thunder storm,0
available resources,torrential rain,0
available resources,weather,0
available resources,wet,0
available resources,wetter,0
contingency plan,alarm,0
contingency plan,action plan,0
contingency plan,active resources,0
contingency plan,effect,0
contingency plan,affected area,0
contingency plan,agency,0
contingency plan,agency dispatch,0
contingency plan,agency executive,0
contingency plan,agency administrator,0
contingency plan,after action report,0
contingency plan,after action review,0
contingency plan,alert level,0
contingency plan,allocated resources,0
contingency plan,assigned resources,0
contingency plan,available resources,0
contingency plan,contingency plan,0
contingency plan,death,0
contingency plan,devastation,0
contingency plan,devastating,0
contingency plan,died,0
contingency plan,disaster,0
contingency plan,disasters,0
contingency plan,extreme,0
contingency plan,hazard,0
contingency plan,killed,0
contingency plan,base flood,0
contingency plan,base flood elevation,0
contingency plan,flash flood,0
contingency plan,flooded homes,0
contingency plan,flooded cars,0
contingency plan,flood classification,0
contingency plan,flood crest,0
contingency plan,flood depth,0
contingency plan,flood elevation,0
contingency plan,flood elevation study,0
contingency plan,flood hazard level,0
contingency plan,flood insurance rate map,0
contingency plan,flood insurance study,0
contingency plan,flood mitigation assistance,0
contingency plan,flood of record,0
contingency plan,floodplain,0
contingency plan,floodplain fill,0
contingency plan,flood-proofing,0
contingency plan,flood stage,0
contingency plan,floodway,0
contingency plan,atmospheric moisture,0
contingency plan,climate change,0
contingency plan,crest,0
contingency plan,downpours,0
contingency plan,extreme rainfall,0
contingency plan,global warming,0
contingency plan,intense rainfall,0
contingency plan,precipitation,0
contingency plan,moisture,0
contingency plan,natural disaster,0
contingency plan,noaa,0
contingency plan,rain,0
contingency plan,rainfall,0
contingency plan,river,0
contingency plan,sea levels,0
contingency plan,special flood hazard area,0
contingency plan,storm,0
contingency plan,storm intensity,0
contingency plan,swamped,0
contingency plan,thunder storm,0
contingency plan,torrential rain,0
contingency plan,weather,0
contingency plan,wet,0
contingency plan,wetter,0
death,alarm,0
death,action plan,0
death,active resources,0
death,effect,0
death,affected area,0
death,agency,0
death,agency dispatch,0
death,agency executive,0
death,agency administrator,0
death,after action report,0
death,after action review,0
death,alert level,0
death,allocated resources,0
death,assigned resources,0
death,available resources,0
death,contingency plan,0
death,death,0
death,devastation,0
death,devastating,0
death,died,0
death,disaster,0
death,disasters,0
death,extreme,0
death,hazard,0
death,killed,0
death,base flood,0
death,base flood elevation,0
death,flash flood,0
death,flooded homes,0
death,flooded cars,0
death,flood classification,0
death,flood crest,0
death,flood depth,0
death,flood elevation,0
death,flood elevation study,0
death,flood hazard level,0
death,flood insurance rate map,0
death,flood insurance study,0
death,flood mitigation assistance,0
death,flood of record,0
death,floodplain,0
death,floodplain fill,0
death,flood-proofing,0
death,flood stage,0
death,floodway,0
death,atmospheric moisture,0
death,climate change,0
death,crest,0
death,downpours,0
death,extreme rainfall,0
death,global warming,0
death,intense rainfall,0
death,precipitation,0
death,moisture,0
death,natural disaster,0
death,noaa,0
death,rain,0
death,rainfall,0
death,river,1
death,sea levels,0
death,special flood hazard area,0
death,storm,0
death,storm intensity,0
death,swamped,0
death,thunder storm,0
death,torrential rain,0
death,weather,0
death,wet,0
death,wetter,0
devastation,alarm,0
devastation,action plan,0
devastation,active resources,0
devastation,effect,0
devastation,affected area,0
devastation,agency,0
devastation,agency dispatch,0
devastation,agency executive,0
devastation,agency administrator,0
devastation,after action report,0
devastation,after action review,0
devastation,alert level,0
devastation,allocated resources,0
devastation,assigned resources,0
devastation,available resources,0
devastation,contingency plan,0
devastation,death,0
devastation,devastation,0
devastation,devastating,1
devastation,died,0
devastation,disaster,2
devastation,disasters,1
devastation,extreme,1
devastation,hazard,0
devastation,killed,1
devastation,base flood,0
devastation,base flood elevation,0
devastation,flash flood,0
devastation,flooded homes,0
devastation,flooded cars,0
devastation,flood classification,0
devastation,flood crest,0
devastation,flood depth,0
devastation,flood elevation,0
devastation,flood elevation study,0
devastation,flood hazard level,0
devastation,flood insurance rate map,0
devastation,flood insurance study,0
devastation,flood mitigation assistance,0
devastation,flood of record,0
devastation,floodplain,0
devastation,floodplain fill,0
devastation,flood-proofing,0
devastation,flood stage,0
devastation,floodway,0
devastation,atmospheric moisture,0
devastation,climate change,0
devastation,crest,0
devastation,downpours,0
devastation,extreme rainfall,0
